t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
3.816550000000000000e+05,0.000000000000000000e+00,6.830000000000000071e+00,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,1.200000000000000000e+01,1.000010000000000048e+02,1.370000000000000107e+00,1.149999999999999911e+00
3.840960000000000000e+05,0.000000000000000000e+00,6.799999999999999822e+00,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.009999999999999787e+00,1.200000000000000000e+01,1.000090000000000003e+02,1.360000000000000098e+00,1.159999999999999920e+00
3.851640000000000000e+05,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.009999999999999787e+00,0.000000000000000000e+00,1.000090000000000003e+02,1.429999999999999938e+00,1.110000000000000098e+00
3.861620000000000000e+05,0.000000000000000000e+00,7.120000000000000107e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000090000000000003e+02,1.429999999999999938e+00,1.100000000000000089e+00
3.871600000000000000e+05,0.000000000000000000e+00,7.110000000000000320e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.029999999999999805e+00,0.000000000000000000e+00,1.000010999999999939e+02,1.439999999999999947e+00,1.110000000000000098e+00
3.881590000000000000e+05,0.000000000000000000e+00,7.110000000000000320e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.989999999999999991e+00,0.000000000000000000e+00,1.000010000000000048e+02,1.429999999999999938e+00,1.090000000000000080e+00
3.891810000000000000e+05,0.000000000000000000e+00,7.110000000000000320e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000010000000000048e+02,1.419999999999999929e+00,1.110000000000000098e+00
3.901560000000000000e+05,0.000000000000000000e+00,7.089999999999999858e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.020000000000000018e+00,0.000000000000000000e+00,1.000010000000000048e+02,1.429999999999999938e+00,1.110000000000000098e+00
3.911530000000000000e+05,0.000000000000000000e+00,7.110000000000000320e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000010000000000048e+02,1.429999999999999938e+00,1.100000000000000089e+00
3.921500000000000000e+05,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.009999999999999787e+00,0.000000000000000000e+00,1.000090000000000003e+02,1.439999999999999947e+00,1.100000000000000089e+00
3.931490000000000000e+05,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.009999999999999787e+00,0.000000000000000000e+00,1.000010000000000048e+02,1.429999999999999938e+00,1.110000000000000098e+00
3.941450000000000000e+05,0.000000000000000000e+00,7.089999999999999858e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.009999999999999787e+00,0.000000000000000000e+00,1.000010000000000048e+02,1.429999999999999938e+00,1.110000000000000098e+00
3.951700000000000000e+05,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000010000000000048e+02,1.429999999999999938e+00,1.100000000000000089e+00
3.961720000000000000e+05,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000010000000000048e+02,1.429999999999999938e+00,1.100000000000000089e+00
3.971700000000000000e+05,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000010000000000048e+02,1.439999999999999947e+00,1.090000000000000080e+00
3.981690000000000000e+05,0.000000000000000000e+00,7.089999999999999858e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.020000000000000018e+00,0.000000000000000000e+00,1.000011999999999972e+02,1.439999999999999947e+00,1.110000000000000098e+00
3.991700000000000000e+05,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.989999999999999991e+00,0.000000000000000000e+00,1.000013000000000005e+02,1.429999999999999938e+00,1.090000000000000080e+00
4.001730000000000000e+05,0.000000000000000000e+00,7.089999999999999858e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.009999999999999787e+00,0.000000000000000000e+00,1.000011999999999972e+02,1.429999999999999938e+00,1.110000000000000098e+00
4.011730000000000000e+05,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000011999999999972e+02,1.419999999999999929e+00,1.110000000000000098e+00
4.021760000000000000e+05,0.000000000000000000e+00,7.110000000000000320e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000013000000000005e+02,1.439999999999999947e+00,1.100000000000000089e+00
4.031760000000000000e+05,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.009999999999999787e+00,0.000000000000000000e+00,1.000011999999999972e+02,1.429999999999999938e+00,1.110000000000000098e+00
4.041770000000000000e+05,0.000000000000000000e+00,7.110000000000000320e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000011999999999972e+02,1.439999999999999947e+00,1.090000000000000080e+00
4.051770000000000000e+05,0.000000000000000000e+00,6.839999999999999858e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.989999999999999991e+00,0.000000000000000000e+00,1.000013000000000005e+02,1.419999999999999929e+00,1.110000000000000098e+00
4.061780000000000000e+05,0.000000000000000000e+00,7.089999999999999858e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000011999999999972e+02,1.419999999999999929e+00,1.110000000000000098e+00
4.071580000000000000e+05,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000013000000000005e+02,1.439999999999999947e+00,1.090000000000000080e+00
4.081600000000000000e+05,0.000000000000000000e+00,7.089999999999999858e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.009999999999999787e+00,0.000000000000000000e+00,1.000013000000000005e+02,1.429999999999999938e+00,1.100000000000000089e+00
4.091860000000000000e+05,0.000000000000000000e+00,7.089999999999999858e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.009999999999999787e+00,0.000000000000000000e+00,1.000013000000000005e+02,1.429999999999999938e+00,1.110000000000000098e+00
4.101890000000000000e+05,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000013000000000005e+02,1.429999999999999938e+00,1.100000000000000089e+00
4.111910000000000000e+05,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.020000000000000018e+00,0.000000000000000000e+00,1.000013000000000005e+02,1.429999999999999938e+00,1.110000000000000098e+00
4.121690000000000000e+05,0.000000000000000000e+00,7.110000000000000320e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.009999999999999787e+00,0.000000000000000000e+00,1.000013000000000005e+02,1.429999999999999938e+00,1.100000000000000089e+00
4.131700000000000000e+05,0.000000000000000000e+00,7.110000000000000320e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000013000000000005e+02,1.439999999999999947e+00,1.090000000000000080e+00
4.141740000000000000e+05,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.009999999999999787e+00,0.000000000000000000e+00,1.000011999999999972e+02,1.429999999999999938e+00,1.110000000000000098e+00
4.151740000000000000e+05,0.000000000000000000e+00,9.640000000000000568e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.520000000000000018e+00,2.500000000000000000e+00,1.000014000000000038e+02,1.669999999999999929e+00,1.199999999999999956e+00
4.161750000000000000e+05,0.000000000000000000e+00,9.990000000000000213e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.500000000000000000e+00,1.000014000000000038e+02,1.689999999999999947e+00,1.199999999999999956e+00
4.171810000000000000e+05,0.000000000000000000e+00,9.990000000000000213e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.529999999999999805e+00,2.500000000000000000e+00,1.000013000000000005e+02,1.699999999999999956e+00,1.189999999999999947e+00
4.181840000000000000e+05,0.000000000000000000e+00,9.800000000000000711e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.509999999999999787e+00,2.500000000000000000e+00,1.000013000000000005e+02,1.689999999999999947e+00,1.189999999999999947e+00
4.191850000000000000e+05,0.000000000000000000e+00,9.650000000000000355e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.500000000000000000e+00,1.000014000000000038e+02,1.669999999999999929e+00,1.209999999999999964e+00
4.201880000000000000e+05,0.000000000000000000e+00,9.550000000000000711e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.509999999999999787e+00,2.500000000000000000e+00,1.000013000000000005e+02,1.669999999999999929e+00,1.199999999999999956e+00
4.211880000000000000e+05,0.000000000000000000e+00,9.480000000000000426e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.520000000000000018e+00,2.500000000000000000e+00,1.000014000000000038e+02,1.659999999999999920e+00,1.209999999999999964e+00
4.221900000000000000e+05,0.000000000000000000e+00,9.500000000000000000e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.500000000000000000e+00,1.000011999999999972e+02,1.659999999999999920e+00,1.219999999999999973e+00
4.231890000000000000e+05,0.000000000000000000e+00,9.470000000000000639e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.520000000000000018e+00,2.500000000000000000e+00,1.000013000000000005e+02,1.659999999999999920e+00,1.209999999999999964e+00
4.241890000000000000e+05,0.000000000000000000e+00,9.490000000000000213e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.500000000000000000e+00,2.500000000000000000e+00,1.000013000000000005e+02,1.659999999999999920e+00,1.199999999999999956e+00
4.251920000000000000e+05,0.000000000000000000e+00,9.490000000000000213e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.520000000000000018e+00,2.500000000000000000e+00,1.000013000000000005e+02,1.659999999999999920e+00,1.209999999999999964e+00
4.261950000000000000e+05,0.000000000000000000e+00,9.439999999999999503e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.500000000000000000e+00,2.500000000000000000e+00,1.000013000000000005e+02,1.659999999999999920e+00,1.199999999999999956e+00
4.271730000000000000e+05,0.000000000000000000e+00,9.419999999999999929e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.509999999999999787e+00,2.500000000000000000e+00,1.000011999999999972e+02,1.659999999999999920e+00,1.209999999999999964e+00
4.281760000000000000e+05,0.000000000000000000e+00,9.439999999999999503e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.490000000000000213e+00,2.500000000000000000e+00,1.000013000000000005e+02,1.659999999999999920e+00,1.189999999999999947e+00
4.292010000000000000e+05,0.000000000000000000e+00,9.449999999999999289e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.490000000000000213e+00,2.500000000000000000e+00,1.000013000000000005e+02,1.659999999999999920e+00,1.189999999999999947e+00
4.301810000000000000e+05,0.000000000000000000e+00,9.460000000000000853e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.490000000000000213e+00,2.500000000000000000e+00,1.000013000000000005e+02,1.669999999999999929e+00,1.189999999999999947e+00
4.311800000000000000e+05,0.000000000000000000e+00,9.439999999999999503e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.500000000000000000e+00,2.500000000000000000e+00,1.000013000000000005e+02,1.669999999999999929e+00,1.189999999999999947e+00
