Ts (degC),I (a.u.),P (W),q (slm)
6.057000000000000028e+01,2.851286185996238491e+05,0.000000000000000000e+00,0.000000000000000000e+00
5.490999999999999659e+01,4.136921512218068528e+04,0.000000000000000000e+00,0.000000000000000000e+00
5.189000000000000057e+01,2.584222437969918246e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.992000000000000171e+01,-1.257249555451160631e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.865999999999999659e+01,2.491364763157836205e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.728000000000000114e+01,-7.842026503759218031e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.628999999999999915e+01,-1.240976672932355905e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.557999999999999829e+01,-6.755894746240538552e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.475000000000000000e+01,-7.049939943610838782e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.404999999999999716e+01,-3.989874276315434145e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.364000000000000057e+01,1.589642582706779103e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.306000000000000227e+01,2.272635541353365261e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.253000000000000114e+01,4.297851820488715748e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.211999999999999744e+01,-1.051762838346230410e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.160000000000000142e+01,2.090443313909784047e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.114000000000000057e+01,-2.287060632518787679e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.075000000000000000e+01,2.624455015037547491e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.032999999999999829e+01,-1.510717254699238038e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.996999999999999886e+01,1.022851062969905070e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.952000000000000313e+01,1.642267680451136403e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.935000000000000142e+01,8.897608110902145199e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.902000000000000313e+01,-3.862992603383212554e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.877000000000000313e+01,-9.563059370300787123e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.853999999999999915e+01,1.337086460526272276e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.838000000000000256e+01,-9.168617509398925904e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.814999999999999858e+01,-4.165044896616182086e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.795000000000000284e+01,1.821281706766888237e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.785000000000000142e+01,-4.725418421052532722e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.770000000000000284e+01,4.789315046052695106e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.757000000000000028e+01,-6.172854981205600780e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.739999999999999858e+01,1.132375815789503395e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.707999999999999829e+01,1.797432879699209298e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.692999999999999972e+01,4.220725009398521797e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.668999999999999773e+01,-1.994900182330792086e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.661999999999999744e+01,4.584776861842096696e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.635000000000000142e+01,1.469979614661708729e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.617000000000000171e+01,-3.409138091165449441e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.602000000000000313e+01,2.189460293233087577e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.582000000000000028e+01,9.907241306391479156e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.559000000000000341e+01,1.879068301691761371e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.542000000000000171e+01,3.665549937969912571e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.539000000000000057e+01,1.287208412593955654e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.535000000000000142e+01,-3.968563082706749992e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.522999999999999687e+01,1.197073150375955447e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,-2.439614286654111856e+04,0.000000000000000000e+00,0.000000000000000000e+00
3.481000000000000227e+01,7.993545394737291190e+02,2.500000000000000000e+00,3.500000000000000000e+00
3.465999999999999659e+01,1.356880001503755921e+05,2.500000000000000000e+00,3.500000000000000000e+00
4.389999999999999858e+01,2.859490379605258349e+05,2.500000000000000000e+00,3.500000000000000000e+00
4.763000000000000256e+01,3.302848205075184815e+05,2.500000000000000000e+00,3.500000000000000000e+00
4.922999999999999687e+01,3.815113865695489221e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.052000000000000313e+01,3.307105516353389830e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.157999999999999829e+01,3.310211037687968346e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.227000000000000313e+01,3.530379073026323458e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.246000000000000085e+01,3.252418283458652440e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.282999999999999829e+01,3.637953790037593571e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.300999999999999801e+01,3.708507391353387502e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.317000000000000171e+01,3.498908722556389403e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.342000000000000171e+01,3.423671586090226192e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.372999999999999687e+01,3.344146341823309194e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.397999999999999687e+01,3.417493803665424348e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.421999999999999886e+01,3.475317354417300085e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.431000000000000227e+01,3.355172728759402526e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.435999999999999943e+01,3.385913817575188586e+05,2.500000000000000000e+00,3.500000000000000000e+00
5.450999999999999801e+01,3.267743864943599910e+05,2.500000000000000000e+00,3.500000000000000000e+00
