Ts (degC),I (a.u.),P (W),q (slm)
5.252000000000000313e+01,4.004990441447379417e+05,1.500000272003584545e+00,1.500000119978569746e+00
4.907000000000000028e+01,5.535613336466175679e+04,1.500000253279070384e+00,1.500000138405402250e+00
4.670000000000000284e+01,7.178521584586492099e+04,1.500000237806890402e+00,1.500000147489779501e+00
4.593999999999999773e+01,6.081734230263092468e+04,1.500000230184977301e+00,1.500000149546781625e+00
4.532000000000000028e+01,7.034960515037557343e+04,1.500000229034202270e+00,1.500000149893921719e+00
4.509000000000000341e+01,5.682167828007573553e+04,1.500000229393620543e+00,1.500000149370060765e+00
4.447999999999999687e+01,1.082021037687968201e+05,1.500000230956705316e+00,1.500000146815004154e+00
4.427000000000000313e+01,8.721328815789462533e+04,1.500000232764966634e+00,1.500000146843164295e+00
4.404999999999999716e+01,4.990514887218065996e+04,1.500000233949168038e+00,1.500000147036736564e+00
4.385999999999999943e+01,7.930055283834619331e+04,1.500000234430414858e+00,1.500000145177691646e+00
4.349000000000000199e+01,8.426987971804513654e+04,1.500000237979594697e+00,1.500000145594047929e+00
4.350999999999999801e+01,6.840769962406036211e+04,1.500000237919139057e+00,1.500000142673692860e+00
4.307999999999999829e+01,8.858176243421106483e+04,1.500000241434577664e+00,1.500000143983602374e+00
4.303999999999999915e+01,8.883490984962393122e+04,1.500000242455079125e+00,1.500000144265282387e+00
4.286999999999999744e+01,7.459915570488656522e+04,1.500000243204642203e+00,1.500000143659237395e+00
4.275000000000000000e+01,5.456922062030053348e+04,1.500000244219738210e+00,1.500000143913395867e+00
4.239999999999999858e+01,7.417835202067664068e+04,1.500000244945731698e+00,1.500000143356139404e+00
4.178000000000000114e+01,6.942805000939860474e+04,1.500000246973919982e+00,1.500000143448008583e+00
4.142000000000000171e+01,7.198477731203033181e+04,1.500000249215191150e+00,1.500000141846810742e+00
4.181000000000000227e+01,8.491857766917395929e+04,1.500000249964854149e+00,1.500000142041632234e+00
4.139999999999999858e+01,4.191295852443618787e+04,1.500000250674863089e+00,1.500000141482523475e+00
4.113000000000000256e+01,6.597268017857131781e+04,1.500000251401642837e+00,1.500000138286047502e+00
4.140999999999999659e+01,6.032533705827096128e+04,1.500000253355328272e+00,1.500000138738701416e+00
4.139000000000000057e+01,7.889761113721790025e+04,1.500000253354532687e+00,1.500000139290289525e+00
4.134000000000000341e+01,6.895316763157914102e+04,1.500000253782517667e+00,1.500000138902850111e+00
4.106000000000000227e+01,4.105866298872231710e+04,1.500000254565463376e+00,1.500000138453523313e+00
4.079999999999999716e+01,4.578432778195509309e+04,1.500000256916033781e+00,1.500000138070507028e+00
