t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
3.023800000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,5.500000000000000444e-01,1.000015999999999963e+02,1.669999999999999929e+00,1.219999999999999973e+00
5.205900000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,5.500000000000000444e-01,1.000015999999999963e+02,1.669999999999999929e+00,1.219999999999999973e+00
5.314400000000000000e+04,0.000000000000000000e+00,8.919999999999999929e+00,2.000000000000000000e+01,2.799999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.430000000000000160e+00,2.350000000000000089e+00,1.000015999999999963e+02,1.610000000000000098e+00,1.199999999999999956e+00
5.415800000000000000e+04,0.000000000000000000e+00,7.190000000000000391e+00,2.000000000000000000e+01,3.640000000000000124e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.140000000000000124e+00,2.109999999999999876e+00,1.000016999999999996e+02,1.409999999999999920e+00,1.199999999999999956e+00
5.519300000000000000e+04,3.000000000000000000e+00,5.709999999999999964e+00,2.000000000000000000e+01,5.269999999999999574e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.649999999999999911e+00,1.689999999999999947e+00,1.000019999999999953e+02,1.129999999999999893e+00,1.139999999999999902e+00
5.616100000000000000e+04,3.000000000000000000e+00,6.059999999999999609e+00,2.000000000000000000e+01,5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.760000000000000009e+00,1.790000000000000036e+00,1.000019999999999953e+02,1.199999999999999956e+00,1.149999999999999911e+00
5.715100000000000000e+04,4.000000000000000000e+00,7.400000000000000355e+00,2.000000000000000000e+01,5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.200000000000000178e+00,2.200000000000000178e+00,1.000019000000000062e+02,1.449999999999999956e+00,1.209999999999999964e+00
5.814200000000000000e+04,3.000000000000000000e+00,9.800000000000000711e+00,2.000000000000000000e+01,5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.609999999999999876e+00,1.000019000000000062e+02,1.649999999999999911e+00,1.229999999999999982e+00
5.916500000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.830000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.879999999999999893e+00,1.000019999999999953e+02,1.669999999999999929e+00,1.219999999999999973e+00
6.012200000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.530000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,2.910000000000000142e+00,1.000018000000000029e+02,1.669999999999999929e+00,1.229999999999999982e+00
6.114700000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.669999999999999929e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.580000000000000071e+00,2.770000000000000018e+00,1.000019999999999953e+02,1.669999999999999929e+00,1.229999999999999982e+00
6.214700000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.570000000000000284e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.700000000000000178e+00,1.000016999999999996e+02,1.679999999999999938e+00,1.209999999999999964e+00
6.314900000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.870000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.549999999999999822e+00,1.000015999999999963e+02,1.669999999999999929e+00,1.219999999999999973e+00
6.415200000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.820000000000000284e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,2.529999999999999805e+00,1.000016999999999996e+02,1.669999999999999929e+00,1.229999999999999982e+00
6.514500000000000000e+04,0.000000000000000000e+00,9.900000000000000355e+00,2.000000000000000000e+01,4.809999999999999609e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.500000000000000000e+00,1.000016999999999996e+02,1.659999999999999920e+00,1.229999999999999982e+00
6.613600000000000000e+04,0.000000000000000000e+00,9.689999999999999503e+00,2.000000000000000000e+01,4.730000000000000426e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.529999999999999805e+00,2.490000000000000213e+00,1.000016999999999996e+02,1.649999999999999911e+00,1.229999999999999982e+00
